id;name;city;category;description;budget;duration_hours;best_time;tags;tips;
IFR001;Parc National d'Ifrane;Ifrane;nature;Premier parc national du Maroc, créé en 2004 pour protéger la forêt de cèdres et la biodiversité du Moyen Atlas.;free;4;morning;ifrane,national park,cedar forest,biodiversity,hiking;Visite guidée recommandée. Respectez la faune et la flore. Prévoyez de l'eau et des chaussures de randonnée.;
IFR002;Lac Aoua;Ifrane;nature;Lac naturel entouré de montagnes, lieu de pique-nique populaire et paradis pour les oiseaux migrateurs.;free;2;afternoon;ifrane,lake,birds,picnic,scenic;Idéal pour la photographie au coucher du soleil. Évitez de nourrir les animaux sauvages.;
IFR003;Source Vittel;Ifrane;nature;Source d'eau minérale naturelle exploitée commercialement, située dans un cadre forestier préservé.;free;1;morning;ifrane,spring,mineral water,forest;Eau potable directement à la source. Apportez vos bouteilles pour remplir.;
IFR004;Lion d'Ifrane;Ifrane;culture;Sculpture emblématique d'un lion en pierre, symbole de la ville et attraction photographique incontournable.;free;0.5;all day;ifrane,landmark,lion sculpture,photo;Meilleure lumière en fin d'après-midi pour les photos. Attention à la circulation en prenant des photos.;
IFR005;Centre-ville d'Ifrane;Ifrane;culture;Architecture unique de style alpin suisse au cœur du Maroc, avec toits pentus et bâtiments en pierre.;free;2;afternoon;ifrane,architecture,alpine,swiss style;Balade agréable dans les rues propres et ordonnées. Nombreux cafés pour une pause.;
IFR006;Forêt de cèdres;Ifrane;nature;Vaste étendue de cèdres de l'Atlas centenaires, habitat des macaques de Barbarie (magots).;free;3;morning;ifrane,cedar forest,monkeys,wildlife;Ne nourrissez pas les singes. Chaussures de marche recommandées pour les sentiers.;
IFR007;Dayet Aoua;Ifrane;nature;Lac saisonnier qui attire de nombreux oiseaux aquatiques, site Ramsar d'importance internationale.;free;1.5;sunset;ifrane,wetland,birdwatching,ramsar;Jumelles recommandées pour l'observation des oiseaux. Site magnifique au coucher du soleil.;
IFR008;Université Al Akhawayn;Ifrane;culture;Université prestigieuse de style américain, campus magnifique ouvert aux visites (avec autorisation).;free;1.5;afternoon;ifrane,university,campus,architecture;Demandez l'autorisation à la sécurité. Campus calme le week-end.;
IFR009;Station Michlifen;Ifrane;nature;Station de montagne avec complexe hôtelier de luxe et activités quatre saisons (ski, randonnée, VTT).;high;3;all day;ifrane,ski resort,mountain,luxury;Réservation nécessaire pour les activités. Vue imprenable depuis le sommet.;
IFR010;Parc La Prairie;Ifrane;nature;Grand parc urbain avec pelouses, aires de jeux et étang, idéal pour les familles.;free;2;afternoon;ifrane,park,family,pond,playground;Apportez un pique-nique. Nombreux bancs pour se reposer.;
