MARRA021;Riad Yima;Yves Saint Laurent Art Gallery;Marrakech;culture;Galerie d’art moderne créée par Hassan Hajjaj, mélange de pop-art marocain.;medium;1.5;afternoon;art,modern,photo;Parfait pour des photos colorées.
"MARRA022,Maison de la Photographie,Marrakech,culture,""Musée exposant des photos anciennes du Maroc, terrasse panoramique."",medium,1.5,afternoon,""museum,photo,history"",""Profiter du rooftop à la fin.""";;;;;;;;;;
"MARRA023,Musée du Mouassine,Marrakech,culture,""Petit musée retraçant l’histoire du quartier Mouassine."",low,1,morning,""museum,local,history"",""Idéal pour une visite rapide.""";;;;;;;;;;
"MARRA024,Tiskiwin Museum,Marrakech,culture,""Musée dédié aux arts sahariens et berbères."",medium,1.5,morning,""berber,art,history"",""Peu fréquenté, très calme.""";;;;;;;;;;
"MARRA025,Musée Boucharouite,Marrakech,culture,""Musée consacré aux tapis boucharouite fait main."",low,1,afternoon,""carpet,art,traditional"",""Petit mais charmant.""";;;;;;;;;;
"MARRA026,Kasbah Mosque,Marrakech,religion,""Mosquée historique dans la Kasbah, connue pour son minaret massif."",free,0.5,morning,""mosque,architecture,heritage"",""Respecter les zones d’accès.""";;;;;;;;;;
"MARRA027,Heritage Museum,Marrakech,culture,""Musée familial exposant bijoux, poteries et costumes traditionnels."",low,1,morning,""jewelry,tradition,art"",""Très authentique.""";;;;;;;;;;
"MARRA028,Henna Art Café,Marrakech,experience,""Lieu artistique proposant henné naturel et café culturel."",low,1.5,afternoon,""henna,cafe,art"",""Demander du henné 100% naturel.""";;;;;;;;;;
"MARRA029,Fantasia Chez Ali,Marrakech,show,""Spectacle marocain avec cavaliers, danse et dîner typique."",high,3,night,""show,traditional,dinner"",""Réserver à l’avance.""";;;;;;;;;;
"MARRA030,Kabash Square,Marrakech,culture,""Place animée près des tombeaux saadiens."",free,1,afternoon,""square,local,walk"",""Bon point de départ pour explorer la Kasbah.""";;;;;;;;;;
"MARRA031,Zoco des Ferronniers,Marrakech,shopping,""Souk spécialisé dans le fer forgé et les lanternes."",low,1.5,afternoon,""lanterns,craft,metal"",""Négocier gentiment.""";;;;;;;;;;
"MARRA032,Souk Haddadine,Marrakech,shopping,""Marché des forgerons traditionnels."",low,1,afternoon,""metal,craft,tools"",""Attention aux étincelles.""";;;;;;;;;;
"MARRA033,Souk Kimakhine,Marrakech,shopping,""Souk des instruments de musique traditionnels."",low,1,morning,""music,instruments,craft"",""Tester les instruments avant achat.""";;;;;;;;;;
"MARRA034,Souk Zrabi,Marrakech,shopping,""Souk des tapis berbères et orientaux."",medium,1.5,afternoon,""carpet,berber,shopping"",""Beaucoup de choix : comparer avant d’acheter.""";;;;;;;;;;
"MARRA035,Souk Fekharine,Marrakech,shopping,""Marché spécialisé en poterie."",low,1,morning,""pottery,craft,traditional"",""Emballer soigneusement.""";;;;;;;;;;
"MARRA036,Souk Sebbaghine,Marrakech,shopping,""Souk des teinturiers, célèbre pour ses bains colorés."",low,1,afternoon,""colors,photo,traditional"",""Meilleur moment : lumière du matin.""";;;;;;;;;;
"MARRA037,Place des Épices,Marrakech,shopping,""Petite place dédiée aux épices et produits naturels."",low,1,morning,""spices,market,aromas"",""Éviter la foule à midi.""";;;;;;;;;;
"MARRA038,Café des Épices,Marrakech,food,""Café emblématique avec rooftop sur la place."",medium,1,sunset,""cafe,view,rooftop"",""Très fréquenté en fin de journée.""";;;;;;;;;;
"MARRA039,Nomad Restaurant,Marrakech,food,""Restaurant moderne avec vue panoramique sur la médina."",high,1.5,sunset,""restaurant,view,modern"",""Réserver si possible.""";;;;;;;;;;
"MARRA040,Le Jardin Café,Marrakech,food,""Café entouré de plantes, ambiance très calme."",medium,1,afternoon,""cafe,garden,chill"",""Bon pour une pause fraîche.""";;;;;;;;;;
"MARRA041,La Mamounia Gardens,Marrakech,luxe,""Jardins de l’hôtel mythique La Mamounia."",medium,1.5,afternoon,""luxury,nature,iconic"",""Entrée payante pour les jardins.""";;;;;;;;;;
"MARRA042,Palmeraie de Marrakech,Marrakech,nature,""Vaste palmeraie où faire du quad ou du dromadaire."",high,2,afternoon,""nature,quad,camel"",""Porter lunettes contre poussière.""";;;;;;;;;;
"MARRA043,Oasiria Water Park,Marrakech,loisirs,""Grand parc aquatique idéal pour familles."",high,4,afternoon,""waterpark,fun,family"",""Prévoir crème solaire.""";;;;;;;;;;
"MARRA044,Terres d’Amanar,Marrakech,adventure,""Parc d’aventure avec tyroliennes et activités nature."",high,4,morning,""zipline,adventure,nature"",""Chaussures fermées conseillées.""";;;;;;;;;;
"MARRA045,Atlas Mountains Day Trip,Marrakech,excursion,""Excursion vers les villages berbères et montagnes."",high,8,morning,""atlas,excursion,nature"",""Partir tôt pour la fraîcheur.""";;;;;;;;;;
"MARRA046,Ourika Valley,Marrakech,excursion,""Vallée verdoyante avec cascades et villages berbères."",medium,6,morning,""waterfall,nature,berber"",""Chaussures antidérapantes.""";;;;;;;;;;
"MARRA047,Oukaimeden,Marrakech,excursion,""Station de ski la plus haute d’Afrique."",high,6,morning,""ski,mountain,adventure"",""Vérifier météo avant.""";;;;;;;;;;
"MARRA048,Desert d’Agafay,Marrakech,experience,""Désert rocheux idéal pour activités et dîners."",high,5,sunset,""desert,camel,quad"",""Meilleur moment : coucher du soleil.""";;;;;;;;;;
"MARRA049,Bahia Palace Gardens,Marrakech,culture,""Jardins intérieurs du palais Bahia."",low,1,afternoon,""garden,architecture"",""Très calme.""";;;;;;;;;;
"MARRA050,Caravane Café,Marrakech,food,""Restaurant artistique avec ambiance unique."",medium,1.5,night,""restaurant,art,music"",""Ambiance animée le soir.""";;;;;;;;;;
"MARRA051,Chez Chegrouni,Marrakech,food,""Restaurant traditionnel économique sur Jemaa el-Fna."",low,1.5,evening,""food,local,cheap"",""Bon rapport qualité/prix.""";;;;;;;;;;
"MARRA052,Café Argana Rooftop,Marrakech,food,""Café légendaire avec vue sur Jemaa el-Fna."",medium,1,evening,""view,rooftop,iconic"",""Toujours beaucoup de monde.""";;;;;;;;;;
