id;name;city;category;description;budget;duration_hours;best_time;tags;tips;
TAN001;Kasbah Museum;Tanger;culture;Ancien palais du sultan transformé en musée ethnographique. Admirez les mosaïques, les tapis berbères et les artefacts historiques dans un cadre architectural sublime.;medium;2;morning;tanger,culture,history,architecture,museum;Visitez tôt pour éviter la foule. Prenez un guide pour comprendre l'histoire des collections.;
TAN002;Médina de Tanger;Tanger;shopping;Labyrinthe de ruelles étroites et animées. Découvrez des échoppes d'artisanat, des épices colorées et l'atmosphère authentique de la vieille ville.;low;3.5;afternoon;tanger,shopping,culture,old town,markets;Négociez les prix, commencez à 50% du prix annoncé. Portez des chaussures confortables.;
TAN003;Grottes d'Hercule;Tanger;nature;Cavités maritimes spectaculaires avec une ouverture en forme d'Afrique. Selon la légende, Hercule s'y reposait entre ses travaux.;low;1.5;sunset;tanger,nature,beach,caves,legend;Vérifiez les horaires des marées. Le coucher de soleil offre des vues magnifiques sur l'océan.;
TAN004;Cap Spartel;Tanger;nature;Point de rencontre entre l'océan Atlantique et la mer Méditerranée. Phare historique et sentiers de randonnée côtiers.;free;2;evening;tanger,nature,hiking,lighthouse,coast;Apportez un veste, le vent peut être fort. Parfait pour la photographie panoramique.;
TAN005;American Legation Museum;Tanger;histoire;Seul monument historique américain situé hors des États-Unis. Musée dédié aux relations diplomatiques maroco-américaines.;free;1.5;afternoon;tanger,history,diplomacy,museum,architecture;Demandez la visite guidée en anglais ou français. Consultez les expositions temporaires.;
TAN006;Café Hafa;Tanger;culture;Café légendaire fondé en 1921. Terrasse en escalier avec vue sur la Méditerranée, fréquenté par artistes et écrivains célèbres.;low;1.5;sunset;tanger,cafe,view,artists,literature;Commande le thé à la menthe traditionnel. Évitez les heures de pointe (16h-18h).;
TAN007;Plage Municipale;Tanger;nature;Longue étendue de sable fin idéale pour la promenade, les sports nautiques ou la détente face au détroit de Gibraltar.;free;2.5;morning;tanger,beach,sports,relaxation,sea;Location de planches et équipements disponibles. Eaux parfois fraîches même en été.;
TAN008;Grand Socco;Tanger;histoire;Place historique et ancien marché, point de transition entre la ville nouvelle et la médina. Architecture coloniale remarquable.;free;0.5;morning;tanger,history,architecture,plaza,colonial;Observez le mélange architectural. Visitez le marché aux fleurs adjacent.;
TAN009;Musée de la Photographie;Tanger;culture;Collection unique de photographies historiques de Tanger et du Maroc du 19e siècle à nos jours.;medium;1.5;afternoon;tanger,photography,art,history,exhibitions;Photos autorisées sans flash. Vérifiez les horaires des visites guidées.;
TAN010;Forbes Museum of Military Miniatures;Tanger;histoire;Collection privée de 115 000 miniatures militaires retraçant les batailles historiques de l'Antiquité à la Seconde Guerre mondiale.;high;2;afternoon;tanger,history,military,miniatures,collection;Réservation recommandée pour les groupes. Collection impressionnante pour les amateurs d'histoire militaire.;
TAN011;Marché Central;Tanger;shopping;Marché couvert coloré offrant fruits de mer frais, épices, olives et produits locaux. Expérience sensorielle authentique.;low;1;morning;tanger,market,food,local,seafood;Visitez le matin pour les produits les plus frais. Goûtez les tapenades locales.;
TAN012;Église Saint-André;Tanger;religion;Église anglicane construite en 1894, mélange unique d'architecture islamique et chrétienne avec des citations du Coran sur les murs.;free;1;afternoon;tanger,religion,architecture,history,anglican;Remarquez les inscriptions arabes sur les arches. Jardin paisible attenant.;
TAN013;Promenade de la Corniche;Tanger;nature;Longue promenade côtière offrant des vues spectaculaires sur le détroit, parfaite pour le jogging ou les balades romantiques.;free;1.5;evening;tanger,promenade,sea,view,sunset;Meilleure visite au coucher du soleil. Nombreux cafés avec terrasses le long du parcours.;
TAN014;Dar el Makhzen;Tanger;culture;Ancien palais royal transformé en musée des arts marocains. Magnifiques jardins andalous et collections de céramiques.;medium;2;morning;tanger,palace,art,gardens,andalusian;Admirez les zelliges et les boiseries sculptées. Les jardins sont particulièrement beaux au printemps.;
TAN015;Rue de la Liberté;Tanger;shopping;Artère principale commerçante avec boutiques modernes, galeries d'art et cafés chic dans l'ancien quartier européen.;medium;1.5;afternoon;tanger,shopping,fashion,art,cafes;Parfait pour le shopping de marques internationales. Plusieurs galeries d'art contemporain à découvrir.;
TAN016;Jardin de la Mendoubia;Tanger;nature;Jardin public historique avec des arbres centenaires et un kiosque à musique. Havre de paix au cœur de la médina.;free;0.75;morning;tanger,garden,park,peace,nature;Idéal pour une pause tranquille. Les arbres offrent une ombre agréable en été.;
TAN017;Port de Tanger-Ville;Tanger;shopping;Port animé avec vue sur les ferries et l'activité maritime. Marché aux poissons et restaurants de fruits de mer frais.;low;1.5;morning;tanger,port,seafood,fishing,maritime;Assistez à la vente aux enchères du poisson tôt le matin. Restaurants recommandés pour les grillades de poisson frais.;
TAN018;Mosquée Sidi Bou Abib;Tanger;religion;Mosquée historique au minaret distinctif visible de loin. Architecture traditionnelle marocaine avec influences andalouses.;free;0.5;afternoon;tanger,mosque,architecture,religion,landmark;Visite extérieure seulement pour les non-musulmans. Meilleure vue photographique depuis la colline voisine.;
TAN019;Colline du Marshan;Tanger;nature;Point de vue panoramique sur toute la ville et le détroit. Quartier résidentiel historique avec des villas coloniales.;free;1;evening;tanger,viewpoint,panoramic,residential,colonial;Apportez des jumelles pour observer le trafic maritime. Quartier calme pour la promenade.;
